1000 square meter	mål(et)
announce	kunngjøre
announce[s]	"anmelde[r], forkynne[r], annonsere[r]"
announced	"anmeldte, forkynte"
annual	årlig
annual fee	årsavgift(en)
annual statement	årsoppgave(n)
another	"annen, annet"
ant	mauer(en)
ant hill	mauertue(n)
antique	antikvarisk
antique	antikvitet(en)
answer	svar(et)
answer[s]	svare[r]
answered	svart[e]
any	"enhver, noen"
anyway	lell
apart from	bortsett fra
apartment	leilighet(en)
ape	ape(n)
ape[s|d]	"ape[r|t], herme[r|t]"
apolectic stroke	slag(et)
apparent	tydelig
apparently	"tydeligvis, visst, visstnok"
appendicitis	blindtarmbetennelse(n)
apple	eple(t)
appoint[s]	"utnevne[r], ansette[r]"
appointed	"utnevnt, bestemt"
appreciation	påskjønnelse(n)
apprentice	"lærling(en), læregutt(en)"
approximately	"omtrent, cirka"
April	april
aptitude	anlegg(et)
arable	fruktbar
arable land	åkerland(et)
arbitrary	vilkårlig
archive	arkiv(et)
archive information	arkivinformasjon(en)
architect	arkitekt(en)
are	er
area	"areal(et), område(t)"
arena	arena(en)
arm	arm(en)
armor	panser(et)
army	"hær(en), arme(en)"
around	"rundt, om, utenom, forbi"
arrange[s|d]	formidle[r|t]
arrest[s]	"arrestere[r], gripe[r]"
arrested	grepet
arrival	ankomst(en)
arrow	pil(en)
date of arrival	ankomstdato(en)
art	kunst(en)
artificial	kunstig
artillery	arteleri(et)
artilleryman	artelerist(en)
artistic	kunstnerisk
as	"som, såsom"
as far as	såvidt
as if	"liksom, som om"
ascending	oppadgående
ash	ask(en)
ash tree	asketre(et)
ashes	aske(n)
ask	spørre
asked	spurt[e]
asks	spørr
assemble[s|d]	forsamle[r|t]
financial asset	aktivum(et)
financial assets	aktiva(ene)
assets	formue(n)
assign[s]	"tilordne[r], overlate[r]"
assignment	oppdrag(et)
assist[s]	hjelpe[r]
assistance	hjelp(en)
assistant	"assistent(en), medarbeider(en), lærling(en), medhjelper(en)"
assistant nurse	hjelpepleier(en)
associate	forbindelse(n)
associate professor	dosent(en)
association	forening(en)
association	forbindelse(n)
association of neighbours	vel(et)
assumption	forutsetning(en)
asthma	astma(en)
at	"ved, hos, av, på, uti"
at home	hjemme
at least	ihvertfall
ate	"spiste, åt"
attach[es|ed]	feste[r|t]
attack	angrep(et)
attack	anfall(et)
attend[s|ed]	delta[r|tt]
attendance	deltagelse(n)
attendant	oppsynsmann(en)
attention	oppmerksomhet(en)
attic	loft(et)
attic room	loftskammer(et)
attorney	advokat(en)
attorney	sakfører(en)
audience	tilskuer(en)
auditor	revisor(en)
auction	auksjon(en)
auction records	auksjonsprotoll(en)
August	august
aunt	"tante(n), faster(en), moster(en)"
author	forfatter(en)
authority	autoritet(en)
authorization	fullmakt(en)
authorize[s]	anerkjenne[r]
authorized	anerkjent
authorized trading agent	handelsfullmektig
autumn	høst(en)
available	tilgjengelig
awake	våken
away	"borte, ifra, hen"
away from home	bortreist
baby	"baby(en), spebarn(et)"
back	rygg(en)
back	tilbake
background	bakgrunn(en)
backward	tilbake
backwards	bakover
bachelor	ungkar(en)
bacteria	bakterie(n)
bad	stygg
badly beaten	mørbanket
badger	grevling(en)
bag	"veske(n), skreppe(n)"
baggarly	fattigslig
bailiff	"fogd(en), fut(en)"
bailiff's accounts	futeregnskap(et)
bait spoon	sluk(et)
bake[s]	bake[r]
baked	bakt[e]
baker	baker(en)
baker apprentice	bakerlærling(en)
bakery	bakeri(et)
bald	skallet
ball	ball(en)
ballast	ballast(en)
ballet	ballet(en)
banana	banan(en)
bandage	"bandasje(n), bind(et)"
bank	bank(en)
bank cashier	bankkasserer(en)
bank clerk	bankfunksjonær(en)
bank manager	banksjef(en)
Bank of Norway	Norges Bank
bank robbery	bankran(et)
bank security	pant(en)
bankruptcy	konkurs(en)
banquet	gilde(t)
baptism	dåp(en)
baptism certificate	dåpsattest(en)
baptismal day	dåpsdag(en)
Baptist	baptist(en)
baptize[s]	døpe[r]
baptize[s|d]	kristne[r|t]
baptized	døpt
baptized at home	hjemmedøpt
bar	"bar(en), bule(n)"
bare	bar
barefoot	barfot
barely	såvidt
bark	bark(en)
barley	bygg(et)
barn	låve(n)
barque	bark(en)
barrel	"tønne(n), fat(et)"
bartender	bartender(en)
base	base(n)
base	grunn(en)
base amount	grunnbeløp(et)
base[s]	basere[r]
based	basert
basin	vask(en)
basis	grunnlag(et)
basis of calculation	beregningsgrunnlag(et)
basket	kurv(en)
basket maker	kurvmaker(en)
bat (animal)	flaggermus(en)
bat (for ballgames)	balltre(et)
bate	åte(t)
bate	agn(et)
bath room	bad(et)
bath tub	badekarr(et)
batten[s] down the hatches	skalke[r]
batter	røre(n)
batter[s]	denge[r]
battery	batteri(et)
battle	slag(et)
bay	"bukt(en), vik(en), våg(en)"
be	være
beach	strand(en)
beach area	strandsone(n)
beacon	sjømerke(t)
beam	asal(en)
bean	bønne(n)
bear	"bjørn(en), bamse(n)"
bear[s]	tåle[r]
beat[s]	"slå[r], denge[r]"
beat[s|en] to death	ihjelslå[r|tt]
beating	juling(en)
beautiful	"vakker, vakre, fager"
beaver	bever(en)
became	ble
because	fordi
become[s]	bli[r]
bed	seng(en)
bedridden	sengeliggende
bee	bie(n)
beehive	bikube(n)
has been	vært
beer	øl(et)
before	"før, foran"
beg[s]	be[r]
beggar	tigger(en)
begged	ba
behave[s]	oppføre[r] seg
behaved	oppført seg
behead[s|ed]	halshugge[r|t]
beheld	så
behind	"bak, bakenfor"
behind	bakende(n)
behold[s]	se[r]
being	vesen(et)
bell	bjelle(n)
bell ringer	klokker(en)
belt	belte(t)
belong to	høre hjemme
below	"under, nedenfor"
belong[s] to	tilhøre[r]
believe[s|d]	tro[r|dde]
belief	tro(en)
bench	"benk(en), pall(en)"
bend	sving(en)
benefit	utbytte(t)
benevolence	velvillighet(en)
benevolent	velvillig
bequeath[s]	testamentere[r]
berserk	berserk(en)
berry	bær(et)
bereaved	etterlatte
besides	dessuten
best	"best, beste"
bet[s]	tippe[r]
better	bedre
between	"mellom, imellom"
beverage	drikk(en)
beyond	bakenfor
Bible	bibel(en)
bigwig	kakse(n)
biljard	biljard
bill	regning(en)
binding	binding(en)
binoculars	kikkert(en)
biographical	biografisk
biography	biografi(en)
biology	biologi(en)
biological	biologisk
birch	"bjerk(en), bjørk(en)"
bird	fugl(en)
birth	fødsel(en)
date of birth	fødselsdato(en)
year of birth	fødselsår(et)
birth certificate	fødselsattest(en)
birthday	fødselsdag(en)
birthing bed	barselseng(en)
birthrate	fødselsrate(n)
biscuit	kjeks(en)
bishop	biskop(en)
bishopric	bispedømme(t)
bit	gran(net)
bite	bit(en)
bite[s]	bite[r]
black	"sort, svart"
black currant	solbær(et)
blackberry	bjørnebær(et)
blacksmith	smed(en)
blacksmith apprentice	smedlærling(en)
bladder	blære(n)
blame	skyld(en)
bland	blass
blasphemy	blassfemi(en)
blead[s]	blø[r|dde]
bless[es|ed]	velsigne[r|t]
blessed	salig
blind	blind
blind	skalkeskjul(et)
blink[s|ed]	"blinke[r|t], blunke[r|t]"
block	blokk(en)
blood	blod(et)
blood donor	blodgiver(en)
bloodpoisoning	blodforgiftning(en)
bloody	blodig
blow	slag(et)
blue	blå
blueberry	blåbær(et)
boar	galt(en)
board	"brett(et), plate(en)"
board of directors	styre(t)
boarding	logerende
boat	"båt(en), skøyte(n)"
boat builder	båtbygger(en)
bog	myr(en)
boil[s]	koke[r]
boil	byll(en)
boiler	kjele(n)
bolt	bolt(en)
bomb	bombe(n)
bond	verdipapir(et)
bond fire	bål(et)
bone	"ben(et), bein(et)"
bonus	"bonus(en), påskjønnelse(n)"
book	bok(en)
bookbinder	bokbinder(en)
bookkeeper	"bokholder(en), regnskapsfører(en)"
books	bøker
bookseller	bokhandler(en)
boot	støvel(en)
boots	støvler
border	grense(n)
born	født
borrow[s]	låne[r]
borrowed	lånt[e]
bosom	barm(en)
boss	sjef(en)
boss[es]	kommandere[r]
bossed	kommandert[e]
both	"begge, både"
bother[s|ed]	bry[r|dde]
bother	bry(et)
bottom	bunn(en)
bought	kjøpte
boundary	"grense(n), avgrensning(en)"
bourgeois	borgerskap(et)
bowler hat	skalk(en)
box	"eske(n), boks(en), kasse(n)"
box	bås(en)
boy	gutt(en)
brain	hjerne(n)
brain tumor	hjernesvulst(en)
branch	gren(en)
brass	messing(en)
bread	brød(et)
bread distributor	brødkjører(en)
breadwinner	familieforsørger(en)
break[s]	bryte[r]
break[s|ed]	knekke[r|t]
break[s] free	slite[r]
breast	bryst(et)
breast [feed[s]|fead]	amme[r|t]
breast feeding haze	ammetåke(n)
breeze	bris(en)
brevity	korthet(en)
brewer	brygger(en)
brewery	bryggeri(et)
brewery worker	bryggeriarbeider(en)
brick	teglsten(en)
bricklayer	murer(en)
brickworks	teglverk(et)
brief	kort
briefness	korthet(en)
bride	brud(en)
bridge	"bro(en), bru(a)"
bright	intens
bright	"smart, oppvakt"
brine	lake(n)
bring[s]	bringe[r]
bring[s] up	oppdra[r]
broke	brøt
broke free	slet
broken	brukket
broken heart	kjælighetssorg(en)
broker	megler(en)
broom	kost(en)
brothel	bordell(et)
brother	bror(en)
brother-in-law	svoger(en)
brothers	brødre(ne)
brown	brun
brown cheese	brunost
brought with	medbragt
brush	børste(n)
brush	basketak(et)
brutal	brutal
bubble	boble(n)
bucket	"bøtte(n), spann(et)"
buckle	spenne(n)
buried	bisatt
burn[s]	brenne[r]
[bury|buries]	"bisette[r], begrave[r], gravlegge[r]"
build[s|t]	bygge[r|t]
building	"bygning(en), bygg(et)"
bull	okse(n)
bullet	kule(n)
bunny	kanin(en)
buoy	sjømerke(t)
burden	byrde(n)
burn[s|ed]	svi[r|dde]
burnt down	nedbrent
buried	gravlagt
bus	rutebil(en)
business	"virksomhet(en), forretning(en)"
business college	handelshøyskole(n)
business field	bransje(n)
business license	handelsbrev(et)
business machine	kontormaskin(en)
business man	forrettningsmann(en)
business management	forretningsførsel(en)
business manager	forretningsfører(en)
business partner	"kompanjong(en), samarbeidspartner(en)"
busy	travel
but	men
butcher	slakter(en)
butcher[s|ed]	slakte[r|t]
butter	smørr(et)
butterfly	sommerfugl(en)
button	knapp(en)
buy[s]	kjøpe[r]
buzzhead	surrekopp(en)
by	"ved, av, hos, forbi"
bye	"farvel, ha det"
cabin	hytte(n)
cabinet	skap(et)
cable	kabel(en)
cadet	kadett(en)
caecum	blindtarm(en)
café	konditori(et)
cage	bur(et)
cake	kake(n)
calculate[s|d]	regne[r|t]
calf	legg(en)
calf	kalv(en)
call[s]	kalle[r]
call[s]	ringe[r]
called	kalt[e]
calling	kall(et)
came	kom
camel	kamel(en)
can	"boks(en), kanne(n)"
can	kan
cancel[s]	sløyfe[r]
cancer	kreft(en)
candlestick	lysestake(n)
candy	"snop(et), godteri(et), slikkeri(et), drops(et)"
cane	stokk(en)
canon	kanon(en)
cap	lue(n)
capital	kapital(en)
capital city	hovedstad(en)
captain	"kaptein(en), sjøkaptein(en)"
captain on a merchant ship	koffardikaptein(en)
capture	erobring(en)
capture[s|d]	"fange[r|t], erobre[r|t]"
car	"bil(en), personbil(en)"
car accident	bilulykke(n)
card	kort(et)
card[s|ed]	karde[r|t]
cardamom	kardemomme(n)
cardamom crackers	goro(en)
carder	karder(en)
care[s|d]	stelle[r|t]
careful	forsiktig(en)
caress[es]	stryke[r]
caressed	strøk
cargo	"frakt(en), last(en), gods(et)"
cargo ticket	fraktbillet(en)
carnation {flower}	nellik(en)
carpenter	"snekker(en), tømmermann(en), trearbeider(en)"
carriage	vogn(en)
carried	"bar, båret"
carry[s]	bære[r]
cartel	kartell(et)
case	sak(en)
cash	kontant(er)
cash register	kasse(n)
the cash register	kassa
casket	skrin(et)
cast[s]	støpe[r]
castle	slott(et)
cat	katt(en)
catch [catches|cought]	fange[r|t]
catch[es]	gripe[r]
category	klasse(n)
cathedral	"katedral(en), domkirke(en)"
catherdral dean	domprost(en)
Catholic	katolsk
cattle	"fe(et), kveg(et), kyr(ene), naut(et), storfe(et), kreatur(et)"
cattle tender	kreatursteller(en)
cattle tending	kreaturstell(et)
cattle trader	fehandler(en)
caught	"grep, grepet"
cause	gjøre
cause	årsak(en)
cause	anledning(en)
caution[s]	advare[r]
cautioned	advarte
cavalryman	husar(en)
cavalry	kavaleri(et)
cave	hule(n)
ceiling	tak(et)
celery	selleri(et)
cemetery	"gravlund(en), kirkegård(en)"
census	"folketelling(en), manntall(et)"
center	sentrum(et)
century	århundre(t)
cerebral hemorrhage	hjerneblødning(en)
certainly	riktignok
certificate	attest(en)
certify [certifies|certified]	bevitne[r|t]
certain	viss
certainty	visshet(en)
chain	lenke(n)
chair	stol(en)
chair sledge	"spark(en), sparkstøtting(en)"
chairman	formann(en)
chairmannship	formannskap(et)
chance	sjanse(n)
change	gjøre om
change	forandring(en)
change	vekslepenge(ne)
changed one's mind	ombestemte
change[s] one's mind	ombestemme[r]
change[s|d]	"forandre[r|t], skifte[r|t]"
chap	kar(en)
chapel	kapell(et)
character {letter}	bokstav(en)
charcoal drawing	kulltegning(en)
charcoal maker	kullbrenner(en)
charm[s|ed]	bedåre[r|t]
charming	"sjarmerende, nydelig, yndig"
chase[s|d] or hunt	jage[r|t]
chassis	karosseri(et)
chauffeur	sjåfør(en)
cheak	kinn(et)
cheap	billig
cheat[s|ed]	jukse[r|t]
cheat[s]	bedra[r]
cheese	ost(en)
[make|made] cheese	yste[r|t]
cheese factory	ysteri(et)
chemical	kjemisk
chemical engineer	kjemiingeniør(en)
chemical pulp	cellulose(n)
chemist	apotek(et)
chemistry	kjemi(en)
chest	bryst(et)
chest	kiste(n)
chicken	kylling(en)
chief	høvding(en)
chief	sjef(en)
chief cashier	kemner(en)
chief engineer	overingeniør(en)
chief officer	rådmann(en)
chief petty officer	kvartermester(en)
chief physician	overlege(n)
child	"barn(et), unge(n)"
restless child	surrekopp(en)
child baptism	barnedåp(en)
childbed fever	barselfeber(en)
childbirth	barsel(en)
childhood	barndom(men)
childhood	barneårene
childhood disease	barnesykdom(men)
childish	barnslig
childless	barnløs
children	"barn, unger, småbarn"
chocolate	sjokolade(n)
choice	valg(et)
choke[s]	kvele[r]
cholera	kolera(en)
choose[s]	"velge[r], kåre[r]"
chopper	hugger(en)
christian	kristen
Christmas	jul(en)
Christmas greeting	julehilsen(en)
chronic	kronisk
church	kirke(n)
church property	kirkegods(et)
church record	kirkebok(en)
church records	kirkebøker
church singer	kirkesanger(en)
cinnamon	kanel(en)
cinnamon bun	skillingsbolle(n)
cinnamon bread	skillingskake(n)
cinema	kino(en)
circuit	krets(en)
circumstance	omstendighet(en)
circumstances	kår
circus	sirkus(et)
citizen	"borger(en), statsborger(en)"
citizen register	folkeregister(et)
citizenship	statsborgerskap(et)
city	"by(en), storby(en)"
city atmosphere	bybilde(t)
city council	"bystyre(t), byting(et)"
city council records	bytingsprotokoll(en)
city fire	bybrann(en)
city hall	rådhus(et)
city museum	bymuseum(et)
city picture	bybilde(t)
city skyline	bybilde(t)
civil	borgerlig
minor civil court	forliksråd(et)
civil war	borgerkrig(en)
civilian	sivil
civilized	sivilisert
clash	strid(en)
clasp	spenne(n)
class	klasse(n)
classic	klassisk
clean	ren
clean[s]	"vaske[r], skure[s]"
cleaner	vaskehjelp(en)
cleaning	rengjøring(en)
cleaning girl	vaskepike(n)
cleaning woman	vaskekone(n)
clear	"klar, tydelig"
clear[s|ed]	klarne[r|t]
clearly	"tydeligvis, åpenbart"
cleft	sprekk(en)
clerk	ekspeditør(en)
clever	"flink, lur"
climate	klima(et)
clock	klokke(n)
clog	tresko(en)
close	nær
close	tett
close[s]	lukke[r]
close[s]	stenge[r]
close[s]	nedlegge[r]
closed	nedla[gt]
cloth	lapp(en)
clothing	klær(ene)
cloud	sky(en)
cloud berry	multe(n)
clove {spice}	nellik(en)
clown	klovn(en)
club	klubbe(n)
social club	klubb(en)
club	forening(en)
coach	vogn(en)
coach	rutebil(en)
coach builder	karetmaker(en)
coaching inn	skysstasjon(en)
coachman	"vognmann(en), kusk(en)"
coal	kull(et)
coalfish	sei(en)
coast	kyst(en)
coastguard	kystvakt(en)
coat of arms	våpen(et)
coating	belegg(et)
coffee	kaffe(n)
coffin	kiste(n)
cold	kald
cold	kulde(n)
to have a cold	å være forkjølet
collaborate[s|d]	samarbeide[r|t]
collaborator	samarbeidspartner(en)
colleague	kollega(en)
collect[s|ed]	samle[r|t]
colic	kolikk(en)
colonel	oberst(en)
color	farge(n)
column	kolonne(n)
come[s]	komme[r]
come to agreement	enes
command[s]	anføre[r]
command[s]	kommandere[r]
command[s|ed]	beordre[r|t]
commanded	"kommandert[e], anførte"
commersial area	næringsområde(t)
commit[s]	bedrive[r]
commited	begikk
committee	utvalg(et)
common	almen
common	felles
common	alminnelig
communication	kommunikasjon(en)
communion	"nattverd(en), altergang(en)"
community	samfunn(et)
company	"selskap(et), firma(et), bedrift(en)"
company name	firmanavn(et)
compare	jevnfør
compare[s]	konferere[r]
compare[s|d]	sammenligne[r|t]
comparison	sammenlignelse(n)
compassionate	barmhjertig
compass	kompass(et)
competence	"kompetanse(n), fagområde(t)"
competition	konkurranse(n)
complaint	klage(n)
complain[s|ed]	klage[r|t]
complete	"komplett, fullkommen, full, hel, hele"
complicated	innviklet
comprehend[s]	innse[r]
comprehension	oppfatning(en)
compromise	forlik(et)
computer	datamaskin(en)
comrade	kammerat(en)
concern[s]	angå[r]
concrete worker	støpearbeider(en)
concussion	rystelse(n)
condition	"tilstand(en), forfatning(en), forhold(et)"
condition	"vilkår(et), forutsetning(en)"
conduct[s] (an orchestra)	dirigere[r]
conducted (an orchestra)	dirigerte
conductor (of an orchestra)	dirigent(en)
electrical conductor	leder(en)
railway conductor	konduktør(en)
confess[es|ed]	skrifte[r|t]
confession	skriftemål(et)
confidence	tillit(en)
confirm[s|ed]	bekrefte[r|t]
confirm[s|ed]	stadfeste[r|t]
confirm[s]	konfirmere[r] in church
confirmation in church	konfirmasjon(en)
confirmed	konfirmert in church
confiscate[s]	frata[r]
confiscated	fratok
conflict	stridighet(en)
congregation	menighet(en)
coniferous forrest	barskog(en)
conifer	bartre(et)
conifers	bartrær
conjugal	ekteskapelig
connect[s|ed]	koble[r|t]
connective tissue	bindevev(et)
conquer[s|ed]	erobre[r|t]
conquest	erobring(en)
conscious	bevisst
consecrate[s|d]	innvie[r|t]
consensus	enighet
consent	samtykke(t)
consequence	følge(n)
consequence	virkning(en)
conservative	"konservativ, borgerlig"
conserve[s]	bevare[r]
consider[s]	anse[r]
considerable	adskillig
consolidate[s|d]	befeste[r|t]
constant	konstant(en)
constant	"konstant, stadig"
constipation	forstoppelse(n)
constituency	krets(en)
construct[s]	oppføre[r]
constructed	oppført
construction	"konstruksjonen(en), bygg(et)"
construction site	anlegg(et)
construction worker	"bygningsarbeider(en), anleggsarbeider(en)"
consultant	konsulent(en)
consume[s|d]	tære[r|t]
consumption	tæring(en)
contain[s]	inneholde[r]
contained	inneholdt[e]
contamination	forurensning(en)
content	"fornøyd, blid"
content	innhold(et)
context	sammenheng(en)
continued	fortsatt
contract	kontrakt(en)
contract fee	festeavgift(en)
contract[s|ed] out	bortfeste[r|t]
contractor	entrepenør(en)
contractor	oppdragsgiver(en)
contrary	derimot
contribution	innlegg(et)
controller	kontrollør(en)
convene[s|d]	forsamle[r|t]
convent	kloster(et)
convention	konvensjon(en)
convert[s]	"konvertere[r], gjøre om"
convulsion	krampe(n)
conversion	omvendelse(n)
conveyor belt	rullebånd(et)
conversation	samtale(n)
conveyance	skyss(et)
cook	kokk(en)
cookie	"cookie(n), kjeks(en)"
cool	"kjølig, sval"
coordinate	koordinat(en)
coordination	koordinasjon(en)
cooper	bøkker(en)
copper	kopper(et)
copper kettle	kopperkjele(n)
copulate[s|d]	parre[r|t]
copy	"kopi(en), avskrift(en)"
corner	hjøne(t)
corporal	korporal(en)
corps	lik(et)
correct	"riktig, rett, sant, ordentlig"
is correct	stemme[r]
correct[s|ed]	rette[r|t]
was correct	stemt[e]
corrode[s|d]	etse[r|t]
corrode[s|d]	tære[r|t]
cortex	bark(en)
cosiness	kos(en)
costs	kostnad(en)
costume	drakt(en)
cosy	"koselig, lun"
cot	barneseng(en)
cottage	stue(n)
the cottage	stua
cottager	husmann(en)
cough[s|ed]	hoste[r|t]
count	antall(et)
Count	greve(n)
counter	disk(en)
Countess	grevinne(n)
counting	telling(a|en)
country	land(et)
country people	bygdefolk(et)
country road	bygdevei(en)
county	kommune(n)
county border	kommunegrense(n)
county road	fylkesvei(en)
couple	par(et)
course	kurs(et)
course	"bane(n), løp(et)"
court	rett(en)
court records	dombok(en)
court of law	domstol(en)
courtyard	gårdsplass(en)
courting	kur(en)
courage	"mot(et), tapperhet(en)"
court	ting(et)
courtyard	tun(et)
cousin	"søskenbarn(et), søsterdatter(en), søstersønn(en)"
female cousin	kusine(n)
male cousin	fetter(en)
cover[s|ed]	dekke[r|t]
cover	"dekke(t), skalkeskjul(et)"
cow	ku(a|en)
cowhouse	fjøs(et)
cowshed	fjøs(et)
cowshed	fehus(et)
cracker	kjeks(en)
craft	brukskunst(en)
craft	fartøy(et)
crane	heisekran(en)
crane operator	kranfører(en)
cranium	skalle(n)
crate	kasse(n)
crazy	gal
create[s]	skape[r]
creature	vesen(et)
creed	trosbekjennelse(n)
crew	besetning(en)
crib	barneseng(en)
cried	gråt[t]
crime	forbrytelse(n)
criminal	kriminell
crippled	krøpling(en)
crippled	"lam, ufør, vanfør"
cripple[s|d]	lemleste[r|t]
crisis	krise(n)
crochet[s|ed]	hekle[r|t]
crocodile	krokodille(n)
cross	kors(et)
cross country skier	skiløper(en)
cross country skiing trip	skitur(en)
croup	"krupp(en), strupehoste(n)"
crowd	"folkemengde(n), mylder(et)"
crowd of children	barneflokk(en)
crown	krone(n)
Crown Court	lagmannsrett(en)
Crown Court	lagrett(en) = lagmannsrett(en)
crown-cent {Norwegian currency unit}	øre(t)
crowns {Norwegian currency unit}	kroner
crumb	smule(n)
crumple[s|ed]	krølle[r|t]
crusty fat on a steak	svor(en)
cry[s]	gråte[r]
cultivate[s|d]	dyrke[r|t]
culture	kultur(en)
cunt	fitte(n)
the cunt	fitta
cunning	lur
cupboad	skap(et)
curate	kapellan(en)
currency	valuta(en)
current	strøm(men)
current version	siste versjon
currently	for tiden
custom	konvensjon(en)
customer	kunde(n)
customer support	kundebehandler(en)
customs	toll(en)
customs officer	tollbetjent(en)
customs department	tollverket
cut	skar
cut[s] down	felle[r]
cutter	overskjærer(en)
daily	daglig
damage[s]	"skade[r], ødelegge[r], skamfere[r]"
damsel	jomfru(en)
dance	dans(en)
dance ball	ball(et)
dance[s|d]	danse[r|t]
dancing teacher	danselærer(en)
dandy	dåre(n)
danger	fare(n)
dangerous	farlig
extremely dangerous	livsfarlig
Danish	dansk
dare[s|d]	våge[r|t]
dark	"mørk, svart"
darling	elskling(en)
dash	sprint(en)
dash[es|ed]	sprinte[r|t]
data	data
date	dato(en)
date	stevnemøte(t)
date[s]	datere[r]
daughter	datter(en)
daughter's daughter	datterdatter(en)
daughter's son	dattersønn(en)
daughter with right to inherit the farm	odelsjente(n)
daughter-in-law	svigerdatter(en)
daughters	døtre(ne)
dawn	demring[en]
dawn[s|ed]	demre[r|t]
day	dag(en)
day labour	dagleie(n)
day labourer	"dagsarbeider(en), løsarbeider(en)"
deacon	diakon(en)
deacon	klokker(en)
dead	salig
dead end street	blindvei(en)
deadline	frist(en)
deaf	døv
deaf and dumb	døvstum
dean	prost(en)
dear	kjære
death	død(en)
death	"dødsfall(et), endelikt(en), avgang(en), bortgang(en)"
cause of death	dødsårsak(en)
date of death	dødsdato(en)
to death	ihjel
year of death	dødsår(et)
deathbed	dødsleie(t)
debenture	gjeldsbrev(et)
debt	"skyld(en), gjeld(en)"
debt ratio	gjeldsandel(en)
debtor's prison	gjeldsfengsel(et)
decapitate[s|d]	halshugge[r|t]
deceased	"avdød, død, forhenværende, salig"
deceive[s]	bedra[r]
December	desember
decent	anstendig
decent	"kjekk, real"
decide[s]	bestemme[r]
decided	"bestemt, bestemte"
decorate[s|d]	"pynte[r|t], smykke[r|t]"
decoration	pynt(en)
deduction	fradrag(et)
